,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
CD44,3.63484320324302,11.2512440215747,68.9522475327227,1.40482922557185e-38,1.68958810959526e-34,77.6559407453617,CD44
LAPTM4B,2.09851078136802,8.75164639415463,32.4046995652394,1.9438194965486e-27,1.1689158542495e-23,52.635328104288,LAPTM4B
HAS3,3.47681227339638,6.88076835189828,29.0465139531438,7.46107777884985e-26,2.9911460815409e-22,48.6593988801911,HAS3
SLC39A8,4.2368844831308,6.74712812911605,27.6491563580406,3.82413348357526e-25,1.14982133517399e-21,46.8842985280928,SLC39A8
SCIN,2.68607983645587,6.78111804954095,26.8188356683362,1.04713524564302e-24,2.17606801538591e-21,46.3130200340358,SCIN
SLC40A1,-1.96056316347837,9.74716170075993,-26.7895325156349,1.08559142698225e-24,2.17606801538591e-21,46.3420485994569,SLC40A1
SDC1,1.49427890894782,9.19992785815814,26.5578068887918,1.4457216789938e-24,2.21551024018584e-21,46.0450582471235,SDC1
GCNT3,3.55307517343344,7.11224138629485,26.542373128492,1.47369102199108e-24,2.21551024018584e-21,45.8193352679343,GCNT3
HPDL,3.3830064503246,5.9587883476202,25.2160922217528,7.95138410274401e-24,1.06256996226336e-20,43.9823860070253,HPDL
SECTM1,2.75411806187062,6.27775767913722,23.1066621284283,1.37786290124679e-22,1.65715571132952e-19,41.3520971678542,SECTM1
SLC26A2,-2.21863967711026,8.56741659350737,-22.8255071047312,2.73876179449271e-22,2.99446255476035e-19,40.8125633325307,SLC26A2
CISH,3.26551023805029,6.10016100610044,22.476507725684,3.37849150756065e-22,3.38609311345266e-19,40.4856721349153,CISH
HKDC1,1.53578228075443,8.54997560486168,22.1226611009926,5.64498327690959e-22,5.22247799010705e-19,40.0703704445223,HKDC1
CCL26,9.99751336738791,3.09965108687857,21.7260016778454,1.01228548969552e-21,8.69625541754856e-19,34.5921168910597,CCL26
GNE,2.93299953754531,6.50489671153438,21.6648958821821,1.10849474163344e-21,8.88791083841689e-19,39.3588235474938,GNE
