,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
CD44,3.60259755115884,11.2512440215747,68.3405539712565,1.90683032531434e-38,2.29334483225556e-34,77.5008502429662,CD44
LAPTM4B,2.05861212313943,8.75164639415463,31.7441981462317,3.87021315654329e-27,2.32735268168731e-23,51.9668732137117,LAPTM4B
HAS3,3.46108587568071,6.88076835189828,28.9074593617323,8.74990011910691e-26,3.50783495774996e-22,48.5964745455893,HAS3
SDC1,1.57348753293729,9.19992785815814,28.0688139865104,2.32264964046781e-25,6.98362680647659e-22,47.8668647000934,SDC1
SLC39A8,4.22897321904813,6.74712812911605,27.5985012839406,4.06326612255186e-25,9.77378033118625e-22,46.9399449268293,SLC39A8
SLC26A2,-2.86200110272282,8.56741659350737,-26.9894271389408,1.18871270847031e-24,2.38277462412874e-21,46.2654077007406,SLC26A2
SLC40A1,-1.91420349500357,9.74716170075993,-26.3138396770933,1.95950794410911e-24,3.36671457768575e-21,45.7351814111127,SLC40A1
GCNT3,3.42502301859493,7.11224138629485,25.4666031883032,5.74844065904855e-24,8.64206197579712e-21,44.5616934624148,GCNT3
HPDL,3.25286910762634,5.9587883476202,24.1504749302027,3.26716542489097e-23,4.36602206279597e-20,42.7197376606561,HPDL
SCIN,2.41768772323841,6.78111804954095,23.7983858767244,5.2756473796199e-23,6.34502110346885e-20,42.4692413817623,SCIN
SECTM1,2.81631926785361,6.27775767913722,23.6987565231631,6.04866061757926e-23,6.61338556796597e-20,42.2078469493864,SECTM1
CISH,3.26108616883854,6.10016100610044,22.4496990423248,3.51160531765675e-22,3.51950642962147e-19,40.4966975666608,CISH
CCL26,10.1005780343087,3.09965108687857,21.9566752420813,7.19971882823259e-22,6.64400986787518e-19,35.4043818863763,CCL26
BCL2L15,2.63626912772916,6.32278240491908,21.9080453741442,7.73394347304004e-22,6.64400986787518e-19,39.7509073387917,BCL2L15
CLDN2,2.66099344603777,8.19463344522582,22.3702244897872,1.21595129518571e-21,9.54221953987588e-19,39.3656937503196,CLDN2
ALDH1A1,-2.97954410464531,6.96944879779412,-21.5739290540604,1.26943969932663e-21,9.54221953987588e-19,39.1652976988586,ALDH1A1
GNE,2.90379104605686,6.50489671153438,21.4325251747372,1.56878738027905e-21,1.10987093074213e-18,39.0528100035167,GNE
SLC26A3,-2.44477572633334,7.0850843415074,-21.3764174939425,1.70684920207877e-21,1.14045974185563e-18,39.0100660480455,SLC26A3
LGALS3,-1.52711365926521,11.3493972670305,-21.3123897090131,1.87974352749513e-21,1.18987765290442e-18,38.6932281742958,LGALS3
HKDC1,1.44806584334264,8.54997560486168,20.7655012020495,4.33010770478129e-21,2.60391026827023e-18,37.9905657055627,HKDC1
GSPT1,1.32239899608796,8.91756197460535,20.4621209895156,6.93550392560639e-21,3.97206217682229e-18,37.4985405252543,GSPT1
ALDH1B1,1.31663452004565,8.15282148990909,19.9106545513916,1.65826108443092e-20,9.06541184656847e-18,36.6502118475387,ALDH1B1
DUOXA2,6.97315174879487,4.10610650967526,19.815089906058,1.93266771229067e-20,1.01061715546608e-17,33.3423808904942,DUOXA2
CEACAM5,-1.41869755296375,11.5294778108875,-19.7716415951536,2.07244368255496e-20,1.03855334042035e-17,36.2564897042805,CEACAM5
ETS2,1.04148650300016,9.93898670335664,19.7208980092403,2.24890602029404e-20,1.08190370824306e-17,36.2188761968003,ETS2
NFKBIZ,6.59443169966678,4.76031264348196,19.3272053331508,4.26526023079547e-20,1.97301095368374e-17,34.1951794390604,NFKBIZ
C1QTNF1,4.56079808640826,5.07264270051216,19.5436106548713,4.74874275811097e-20,2.11530107969632e-17,35.4327963223975,C1QTNF1
CEACAM7,-2.35727825006608,7.86575641806015,-19.1271097681903,5.92989749040283e-20,2.54710275418125e-17,35.4817750414722,CEACAM7
CCL20,4.33663540373938,6.7497937810597,18.9039291228212,8.5928311254924e-20,3.56365448090679e-17,34.6947604626911,CCL20
NTRK2,-3.18973338161677,6.36671149079739,-18.5414679961561,1.58177425117706e-19,6.34133297296885e-17,34.1992542004671,NTRK2
HK1,2.40107327967975,6.52744864446463,18.4735951955201,1.77518166804526e-19,6.88713223276785e-17,34.391612559349,HK1
PIGR,4.86227284407432,4.61475145577161,18.4102086589538,1.97772759652003e-19,7.43316556354576e-17,33.336489329918,PIGR
GCLM,1.98740779965835,6.9543908181842,18.3868668553174,2.05816084676245e-19,7.50106075879153e-17,34.2394818830986,GCLM
TSPAN8,-1.54243780557568,10.13826395874,-18.1590321635254,4.40164671428304e-19,1.55701779507888e-16,33.2418833110369,TSPAN8
ALDH18A1,-1.0833159396166,9.99963160691597,-17.8991796877298,4.77943324558262e-19,1.64234981841778e-16,33.1385911000478,ALDH18A1
KRT20,-1.51635279883714,8.98084632612363,-17.6033476779878,8.04072569793572e-19,2.68627244358536e-16,32.7233550532273,KRT20
CD24,1.4384016462308,9.02260982177453,17.5783781210393,8.40434231955547e-19,2.73186554262956e-16,32.6109725234743,CD24
DUOX2,6.9271169142522,5.79306471409639,18.1999586904413,9.47477287565946e-19,2.98449659263501e-16,31.6581131436029,DUOX2
SORBS1,-2.35481978666988,6.64646584355609,-17.4989161710924,9.67783878878901e-19,2.98449659263501e-16,32.6983298640631,SORBS1
MATN2,2.89653900469367,5.18029255560345,17.273747351706,1.44754305641242e-18,4.3494830285145e-16,32.281922475028,MATN2
SORBS3,1.86141026609719,6.2463888497262,17.2603862106427,1.48273720935474e-18,4.3494830285145e-16,32.2800564316584,SORBS3
DSP,1.28735391804405,9.54610575913261,17.2007954098503,1.65071742053647e-18,4.72694724209338e-16,31.8720277822584,DSP
AOPEP,1.81522517311558,6.16696838288768,17.1860587239669,1.69519160964801e-18,4.7414115091248e-16,32.1448493137561,AOPEP
FOS,1.71904645752232,7.74932843172237,17.0642625775052,2.11323602004474e-18,5.77633854842684e-16,31.8341681668037,FOS
AQP8,-5.26605581129178,5.17053734225797,-16.9474775654553,2.61366351977032e-18,6.89947902568694e-16,30.8712213635343,AQP8
FSTL1,5.01007002722692,4.4190555054211,16.9422200599077,2.63886285176353e-18,6.89947902568694e-16,31.1326971283495,FSTL1
CEACAM6,-2.23395618228938,9.09094289922199,-18.2807986172125,2.8986082580538e-18,7.41735351481129e-16,31.5730711500575,CEACAM6
MT2A,-1.85781946174012,8.25997653888393,-16.8588362754584,3.07358117720936e-18,7.70124183714521e-16,31.4480089057342,MT2A
CALCA,5.07816182131349,3.4580119385757,16.6733759851621,4.32393541640429e-18,1.06130553577744e-15,30.1340337694251,CALCA
