,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
CD44,3.54115440489135,11.2512440215747,67.17498979318,3.43889266853362e-38,4.13595621244538e-34,77.0039639851945,CD44
LAPTM4B,2.17200420355976,8.75164639415463,33.6578820056986,5.45268440795858e-28,3.27897176872589e-24,53.9194108095815,LAPTM4B
SDC1,1.65103394544576,9.19992785815814,29.5407284273168,4.25897727058708e-26,1.70742398777836e-22,49.5629550188631,SDC1
SLC39A8,4.2786976750914,6.74712812911605,27.9607700679064,2.63906762866298e-25,7.93501659248241e-22,47.4050232083099,SLC39A8
CLDN2,3.31996221632043,8.19463344522582,28.5554171817346,5.30714177459044e-25,1.27657988245998e-21,47.0884817537678,CLDN2
SLC26A2,-2.69542531921704,8.56741659350737,-26.2035468439326,3.12285278964578e-24,6.25975841684497e-21,45.2957200355368,SLC26A2
HAS3,3.12624446201447,6.88076835189828,25.7757224333671,3.86729818759343e-24,6.64457075745517e-21,44.9630613051204,HAS3
GCNT3,3.27187548104883,7.11224138629485,24.1842481416505,3.12141495946595e-23,4.69265721468712e-20,42.9317562133503,GCNT3
HPDL,3.18928011703069,5.9587883476202,23.6250247116498,6.69498247179602e-23,8.69204177824772e-20,42.0647040950906,HPDL
CISH,3.40673124536245,6.10016100610044,23.569613828571,7.22710715743554e-23,8.69204177824772e-20,42.0632864519887,CISH
SLC40A1,-1.6101079195778,9.74716170075993,-22.8981232541626,1.84954393561733e-22,1.91735135621203e-19,41.1192774451231,SLC40A1
BCL2L15,2.74089764763282,6.32278240491908,22.8743172662372,1.913047000461e-22,1.91735135621203e-19,41.1389343047623,BCL2L15
SLC26A3,-2.7718286400617,7.0850843415074,-22.2977018724118,4.37514470531705e-22,4.0476819516037e-19,40.3451743871559,SLC26A3
CCL26,10.2023411855559,3.09965108687857,22.1832595652461,5.16728969604673e-22,4.43907094102529e-19,35.9368362858753,CCL26
LGALS3,-1.58808754621266,11.3493972670305,-22.0959254521222,5.8699391022822e-22,4.58638635873174e-19,39.8569076646597,LGALS3
SECTM1,2.64344668889726,6.27775767913722,22.069487289735,6.10145354117467e-22,4.58638635873174e-19,39.9747650622087,SECTM1
ALDH1A1,-3.11267134798319,6.96944879779412,-21.8779822337307,8.08440671127478e-22,5.71947997155893e-19,39.6038049616982,ALDH1A1
GNE,2.92062758399853,6.50489671153438,21.5684325008956,1.27990169668446e-21,8.55187650334664e-19,39.2669938091538,GNE
HKDC1,1.46287635704722,8.54997560486168,20.9923127153391,3.05644387809619e-21,1.93472897483489e-18,38.3261849260682,HKDC1
KRT20,-1.8822976922868,8.98084632612363,-20.9401943471561,3.31020301561967e-21,1.99059058344289e-18,38.2839751247609,KRT20
SCIN,2.0971826954907,6.78111804954095,20.2807681053773,9.2174032913858e-21,5.27893854216652e-18,37.3270034675675,SCIN
DUOXA2,7.06728411592337,4.10610650967526,20.1047537864813,1.21731658090224e-20,6.65484841750512e-18,33.9381270503003,DUOXA2
C1QTNF1,4.6908333322752,5.07264270051216,20.1480875248888,1.82822637186564e-20,9.5600341627948e-18,36.3882374503043,C1QTNF1
CD24,1.60433521589045,9.02260982177453,19.7568954726342,2.12220741552919e-20,1.06349119110707e-17,36.3197963910486,CD24
ETS2,1.03091990640013,9.93898670335664,19.5107246481132,3.16069817249105e-20,1.52054867682199e-17,35.8509973199611,ETS2
CEACAM7,-2.41875904563286,7.86575641806015,-19.2923703992859,4.51615820926578e-20,2.08907056857075e-17,35.752411755428,CEACAM7
ALDH18A1,-1.17166374135027,9.99963160691597,-19.2074578181307,5.19320664324909e-20,2.31328504808729e-17,35.3777900440646,ALDH18A1
CEACAM5,-1.35366002997033,11.5294778108875,-18.920202506722,8.36251910518592e-20,3.59200061707396e-17,34.8104919046137,CEACAM5
GCLM,2.03006700733567,6.9543908181842,18.8208303403814,9.87459518779598e-20,4.09523297667663e-17,34.9682278438518,GCLM
NFKBIZ,6.41332012119724,4.76031264348196,18.7720005139721,1.0717761737877e-19,4.29675068071488e-17,33.537596785894,NFKBIZ
NTRK2,-3.45771237649895,6.36671149079739,-18.7466782604334,1.11837608412543e-19,4.33893843992793e-17,34.4666044888866,NTRK2
GJB1,1.37653954827172,7.56565361043522,18.5434379989961,1.57649521261899e-19,5.9251587256777e-17,34.4126240436339,GJB1
HK1,2.39966415658362,6.52744864446463,18.4592259459153,1.8191497172458e-19,6.62997383312582e-17,34.3658371978594,HK1
SORBS3,1.95100091063429,6.2463888497262,18.2324127948793,2.68222632463811e-19,9.48798117835959e-17,33.9804157930477,SORBS3
PDE3B,2.29907074848964,6.83593711903975,18.1656868127913,3.00905684091818e-19,1.03399790359209e-16,33.8613994473366,PDE3B
GSPT1,1.1793753291107,8.91756197460535,18.0979775414779,3.38262988417167e-19,1.13008026713702e-16,33.5438974512246,GSPT1
IGFBP4,1.72696193412364,7.06234089477474,17.9094525011397,4.69446157544817e-19,1.52595376670041e-16,33.3700428126117,IGFBP4
FSTL1,5.26074771534203,4.4190555054211,17.8770412636435,4.96795774775106e-19,1.57235862716321e-16,32.7528359788346,FSTL1
AOPEP,1.86955974516277,6.16696838288768,17.7823153740581,5.86487959653093e-19,1.80863863865327e-16,33.1991966278355,AOPEP
CALCA,5.36403063924275,3.4580119385757,17.7103392116784,6.65636341730178e-19,2.00140207049721e-16,31.9103646656161,CALCA
SORBS1,-2.3827486969194,6.64646584355609,-17.5781304394208,8.40803244825524e-19,2.46642454280892e-16,32.8413198084204,SORBS1
DUOX2,6.92197301078218,5.79306471409639,18.1853341876031,9.70627716899072e-19,2.7794617978917e-16,31.744462213233,DUOX2
WFS1,2.9089719608475,5.81373228949333,17.3285058464389,1.31202469375248e-18,3.66970255622349e-16,32.3948847656595,WFS1
FOS,1.7153798066776,7.74932843172237,17.0206879703935,2.2873291365845e-18,6.13620197050142e-16,31.7379366236916,FOS
PIGR,4.53312012470342,4.61475145577161,17.0186291048237,2.2959099415695e-18,6.13620197050142e-16,31.1868903901651,PIGR
AQP8,-5.28928422718093,5.17053734225797,-16.9089110520315,2.80441079738075e-18,7.33069854915254e-16,30.8793761169416,AQP8
MATN2,2.84335286188051,5.18029255560345,16.8972706945196,2.86474458975779e-18,7.33069854915254e-16,31.6176417666012,MATN2
SLC39A2,-1.91981052639775,7.26888130854665,-16.8779796256721,2.96768053525904e-18,7.43589454115843e-16,31.5643985300267,SLC39A2
TSPAN8,-1.42053877233322,10.13826395874,-16.8978611360237,4.01966493125557e-18,9.8662265567777e-16,30.9599848936567,TSPAN8
CCL20,3.87985596653129,6.7497937810597,16.6301330183818,4.68412814087867e-18,1.12672018300695e-15,30.9334839708826,CCL20
EXT1,1.55574275521991,6.95893921210958,16.605353283319,4.90425973479026e-18,1.15653983981024e-15,31.0402871531221,EXT1
ALDH1B1,1.0959791957821,8.15282148990909,16.2757692617644,9.08003300223707e-18,2.10010686380587e-15,30.254230885829,ALDH1B1
SIDT1,1.92666355107696,5.99686667049245,16.2221068514274,1.00471313160947e-17,2.27994053469192e-15,30.3639029779552,SIDT1
MUC13,-1.05634348622825,10.3036983908912,-16.0015727483126,1.52711077261112e-17,3.40121504855443e-15,29.6040067728255,MUC13
SH3RF2,1.74968016541331,7.09021242099147,15.8920300216241,1.88324228708784e-17,4.11813727032827e-15,29.6635658515443,SH3RF2
LIPG,2.56985237458114,7.18781405164122,16.3851998119763,2.37824782743324e-17,5.10771189652492e-15,29.5218715828491,LIPG
CEACAM6,-1.9915018584248,9.09094289922199,-16.8731966110234,2.84575245232857e-17,6.00453767441328e-15,29.2159643070942,CEACAM6
