,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
CD44,3.51437934890281,11.2512440215747,66.6670723439275,4.46061463169965e-38,5.36478121754517e-34,76.7066331571525,CD44
LAPTM4B,2.13145052626123,8.75164639415463,32.9660203406543,1.0938242321122e-27,6.57771201980672e-24,53.222494001903,LAPTM4B
SDC1,1.63596812167889,9.19992785815814,29.2503582325876,5.91436431178539e-26,2.37106865259476e-22,49.2394339399129,SDC1
SLC39A8,4.22318847315628,6.74712812911605,27.5508837607949,4.30207792974058e-25,1.29352728152475e-21,46.8920773633778,SLC39A8
CLDN2,3.24986320802766,8.19463344522582,27.8900437710346,1.1288522641622e-24,2.71534123621576e-21,46.3345959483925,CLDN2
HAS3,3.15611735684076,6.88076835189828,26.048757734818,2.73466911915101e-24,5.4816442493382e-21,45.2745790654381,HAS3
GCNT3,3.29851825131031,7.11224138629485,24.4029972145345,2.32581193138702e-23,3.99607715697025e-20,43.2010147430144,GCNT3
SLC40A1,-1.6988183295208,9.74716170075993,-23.9061256204651,4.55308963371065e-23,6.84500112807975e-20,42.5550640110364,SLC40A1
SLC26A2,-2.29960050036568,8.56741659350737,-23.4578800692838,1.13534496486219e-22,1.51719932137751e-19,41.6810223776108,SLC26A2
CISH,3.3376899570841,6.10016100610044,23.0329854297916,1.52848729165363e-22,1.75779074169566e-19,41.3109592894365,CISH
HPDL,3.11334595989209,5.9587883476202,22.9971823137272,1.60769087541799e-22,1.75779074169566e-19,41.187385602937,HPDL
BCL2L15,2.7403385243404,6.32278240491908,22.8658089238331,1.93628278482247e-22,1.94063942108832e-19,41.1108782902408,BCL2L15
GNE,3.02292974653636,6.50489671153438,22.4088692161175,3.72477350201362e-22,3.44598853143983e-19,40.4658178243399,GNE
SECTM1,2.65074543999562,6.27775767913722,22.1345467636122,5.54783789172314e-22,4.7659890231253e-19,40.0501443861501,SECTM1
CCL26,10.1250779325852,3.09965108687857,22.0109075571526,6.64843514800059e-22,5.33071530166688e-19,35.4969220929532,CCL26
CD24,1.73811917315951,9.02260982177453,21.5263690025302,1.36295351592794e-21,1.02451512100409e-18,39.1163215142491,CD24
LGALS3,-1.53976829606555,11.3493972670305,-21.4698420211042,1.48336103820964e-21,1.04943430626749e-18,38.9319579272823,LGALS3
SLC26A3,-2.45098921934654,7.0850843415074,-21.3805666995686,1.69622482956582e-21,1.13336089028823e-18,39.0164394716451,SLC26A3
HKDC1,1.48085012773949,8.54997560486168,21.2675094638698,2.01157209828752e-21,1.23472304093509e-18,38.7628508987944,HKDC1
SCIN,2.18721548746888,6.78111804954095,21.2539463033497,2.05325191807614e-21,1.23472304093509e-18,38.8289082686317,SCIN
DUOXA2,7.33963117365811,4.10610650967526,20.9466750370587,3.27750599580134e-21,1.87707450530965e-18,34.7289700956089,DUOXA2
ALDH1A1,-2.72846216815195,6.96944879779412,-20.8553986975203,3.77023818385924e-21,2.06112066533069e-18,38.1522234544039,ALDH1A1
ALDH18A1,-1.25129062934289,9.99963160691597,-20.3570939811715,8.17531096436081e-21,4.2749767377551e-18,37.2787666780975,ALDH18A1
GCLM,2.09929883598836,6.9543908181842,19.5296024242182,3.06515235040649e-20,1.53602447159745e-17,36.1381007733368,GCLM
C1QTNF1,4.54688350808765,5.07264270051216,19.4763732276366,5.28878999279732e-20,2.54433108973494e-17,35.3353830310306,C1QTNF1
NFKBIZ,6.50363970660641,4.76031264348196,19.0480994233027,6.75921769733484e-20,3.12665812484023e-17,33.8175278127658,NFKBIZ
ETS2,1.00603909846779,9.93898670335664,19.0188236855471,7.09595103000483e-20,3.16085196436549e-17,35.0492426169318,ETS2
PDE3B,2.39194291336548,6.83593711903975,18.9801243717719,7.56767916919152e-20,3.2505884774238e-17,35.2394626588796,PDE3B
FSTL1,5.42007936545227,4.4190555054211,18.4566925412345,1.82701673893149e-19,7.5770794203893e-17,33.6001454003372,FSTL1
KRT20,-1.58297696632878,8.98084632612363,-18.236234976999,2.66464637049435e-19,1.06825672993119e-16,33.8442885231337,KRT20
AOPEP,1.89879558982709,6.16696838288768,18.1007932263014,3.36618420965003e-19,1.25919744354256e-16,33.7548821067907,AOPEP
NTRK2,-2.84694911780379,6.36671149079739,-18.0925766262903,3.41440631886743e-19,1.25919744354256e-16,33.5794257058812,NTRK2
FOS,1.81163739494726,7.74932843172237,18.0857484111003,3.45501917659471e-19,1.25919744354256e-16,33.6566125619852,FOS
GSPT1,1.17290411475931,8.91756197460535,17.9875641837713,4.09700473709228e-19,1.44341638587766e-16,33.3682017819827,GSPT1
CCL20,4.14928745565124,6.7497937810597,17.9732265278633,4.20051330387611e-19,1.44341638587766e-16,33.1988837203025,CCL20
CEACAM7,-2.09991162993353,7.86575641806015,-17.9075567013951,4.71002526567959e-19,1.57354094084246e-16,33.4044186042813,CEACAM7
DUOX2,7.06776431270378,5.79306471409639,18.5873782688389,5.02740234674728e-19,1.60413359294218e-16,32.2300527201159,DUOX2
SORBS1,-2.4735834694081,6.64646584355609,-17.8656010468558,5.06835258433547e-19,1.60413359294218e-16,33.3305787622053,SORBS1
HK1,2.30366505396099,6.52744864446463,17.6345197348659,7.60932446547618e-19,2.34659859862261e-16,32.9422675642352,HK1
SIDT1,2.06316216627824,5.99686667049245,17.5665624377564,8.58224514131595e-19,2.58046655786517e-16,32.8233546356084,SIDT1
SLC39A2,-2.03102527325813,7.26888130854665,-17.3970431277918,1.16054626001414e-18,3.40436338272927e-16,32.5169956318574,SLC39A2
