,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
CD44,3.51197718190221,11.2512440215747,66.6215037170627,4.56637892758118e-38,5.49198393620188e-34,76.5979034479481,CD44
LAPTM4B,2.16305016369552,8.75164639415463,33.4944392338016,6.41950966531285e-28,3.86037213723588e-24,53.7373773685848,LAPTM4B
HAS3,3.19149294278555,6.88076835189828,26.3721483347296,1.8217258845862e-24,5.64160328068824e-21,45.6204284632236,HAS3
SLC39A8,4.05084601818023,6.74712812911605,26.2873241368702,2.02566269559479e-24,5.64160328068824e-21,45.3429646971091,SLC39A8
SDC1,1.47398743043289,9.19992785815814,26.1705780370998,2.34539090408591e-24,5.64160328068824e-21,45.5538614717147,SDC1
GCNT3,3.40797707774552,7.11224138629485,25.312579719132,7.01499646025348e-24,1.40615604045781e-20,44.3308539334408,GCNT3
HPDL,3.29123506266317,5.9587883476202,24.4572362465464,2.16296999675651e-23,3.71629145014151e-20,43.0596803831536,HPDL
SLC40A1,-1.7301458481169,9.74716170075993,-24.2464157167508,2.87033948940306e-23,4.31519662988133e-20,43.0396098612632,SLC40A1
CISH,3.3757285289965,6.10016100610044,23.322855318982,1.01794528960902e-22,1.36031422201419e-19,41.6676177383543,CISH
CLDN2,2.84911119162289,8.19463344522582,24.1169083256317,1.14492055891279e-22,1.37699595620442e-19,41.7336313704551,CLDN2
CCL26,9.99388606499574,3.09965108687857,21.7177637106513,1.0247389179791e-21,1.02381740405857e-18,34.7741153201654,CCL26
SECTM1,2.60275898828487,6.27775767913722,21.6775769625251,1.08778435539609e-21,1.02381740405857e-18,39.361219206808,SECTM1
HKDC1,1.50675353236794,8.54997560486168,21.6660182073996,1.10664556853425e-21,1.02381740405857e-18,39.3851336758404,HKDC1
SLC26A2,-2.07420092441753,8.56741659350737,-21.6681021752311,1.45299126890189e-21,1.1933105716428e-18,39.1190878039176,SLC26A2
SCIN,2.20732191490825,6.78111804954095,21.4676297817758,1.48828956303667e-21,1.1933105716428e-18,39.1485177276428,SCIN
GNE,2.87968166850902,6.50489671153438,21.2254581928386,2.1437084913866e-21,1.56050635553208e-18,38.725463047467,GNE
BCL2L15,2.56165710497215,6.32278240491908,21.2066225317225,2.20575438962712e-21,1.56050635553208e-18,38.7012807164283,BCL2L15
SLC26A3,-2.36723017211646,7.0850843415074,-20.9550689544904,3.23564844387598e-21,2.1619524352498e-18,38.3722752936917,SLC26A3
ALDH1A1,-2.62262757816102,6.96944879779412,-20.5265105145567,6.27252773870133e-21,3.97051005859794e-18,37.6426704942028,ALDH1A1
ALDH18A1,-1.22444053629848,9.99963160691597,-19.96297611073,1.52530240759424e-20,9.17240602806794e-18,36.6717252086742,ALDH18A1
CEACAM7,-2.63763903291954,7.86575641806015,-19.7882158257794,2.01793805119312e-20,1.15570194960475e-17,36.5358488550697,CEACAM7
KRT20,-1.64325618148351,8.98084632612363,-18.7984319738104,1.02525676934241e-19,5.3665547356934e-17,34.8380125730662,KRT20
GSPT1,1.22245046130925,8.91756197460535,18.7978371538181,1.02628052648997e-19,5.3665547356934e-17,34.7963391492729,GSPT1
LGALS3,-1.33015915247469,11.3493972670305,-18.7204722696915,1.16879530635424e-19,5.85712547896769e-17,34.5146570949058,LGALS3
NTRK2,-3.43615818423846,6.36671149079739,-18.6930749477013,1.22400537846105e-19,5.88844507470042e-17,34.2521579820665,NTRK2
CEACAM5,-1.3309012285866,11.5294778108875,-18.6146618929355,1.3972928237191e-19,6.46355415033447e-17,34.3410741760924,CEACAM5
CALCA,5.55647712363783,3.4580119385757,18.4120188219418,1.97162633784727e-19,8.78249998714414e-17,32.6809073706135,CALCA
CD24,1.49929339638547,9.02260982177453,18.3662661996529,2.13193518359778e-19,9.15742301897518e-17,34.0279156238959,CD24
HK1,2.35349343238875,6.52744864446463,18.0564844538985,3.63476854319859e-19,1.50742625065688e-16,33.6790032377983,HK1
ETS2,0.944556755976729,9.93898670335664,17.8105846490107,5.58104144829351e-19,2.23743951662087e-16,32.9852201590403,ETS2
EXT1,1.63759526062953,6.95893921210958,17.5641928888649,8.61838481422185e-19,3.34365529550471e-16,32.8059538829015,EXT1
SORBS1,-2.36864063677558,6.64646584355609,-17.5009675579245,9.6425901785556e-19,3.6241072524215e-16,32.6911878827971,SORBS1
C1QTNF1,4.16205523008174,5.07264270051216,17.6875497816757,1.04728873731067e-18,3.81689140716226e-16,32.4240584135344,C1QTNF1
ST14,-0.955685025036095,10.9523483823135,-17.2088203250185,1.62700393195657e-18,5.75528714401227e-16,31.8650921197633,ST14
SORBS3,1.84602585232962,6.2463888497262,17.0764310503883,2.06709031548944e-18,7.1031129212547e-16,31.9517296272915,SORBS3
GCLM,1.85102506819455,6.9543908181842,16.9823396169006,2.45269528023147e-18,8.19404614870663e-16,31.7719140355872,GCLM
PDE3B,2.15984524179015,6.83593711903975,16.9390342995835,2.65425337409749e-18,8.62775819737042e-16,31.6992662908652,PDE3B
AQP8,-5.24604100574148,5.17053734225797,-16.9203079439478,2.74660103171321e-18,8.69299226537232e-16,30.7123775831999,AQP8
DSP,1.25273785714445,9.54610575913261,16.7075590821799,4.05938379712576e-18,1.22962142029585e-15,30.9877313351119,DSP
IGFBP4,1.62195684323817,7.06234089477474,16.7035493893326,4.08953661027971e-18,1.22962142029585e-15,31.2231528895354,IGFBP4
SH3RF2,1.82970659808742,7.09021242099147,16.6896714573206,4.19568332745482e-18,1.23076788729998e-15,31.2044101981811,SH3RF2
DUOXA2,5.95113284633042,4.10610650967526,16.6032241238121,4.92366241079976e-18,1.40992590034973e-15,28.6646233459986,DUOXA2
FOS,1.6764419645683,7.74932843172237,16.5823989773305,5.1176401241358e-18,1.43139204123212e-15,30.9630624502986,FOS
MUC13,-1.09116890348599,10.3036983908912,-16.4625965223841,6.39634115642456e-18,1.7120207865153e-15,30.5464734048812,MUC13
WFS1,2.78615089381228,5.81373228949333,16.4618163083502,6.40566520272625e-18,1.7120207865153e-15,30.8134049210981,WFS1
AOPEP,1.73463603260391,6.16696838288768,16.2837124556209,8.94521430660986e-18,2.33878461881732e-15,30.492346447207,AOPEP
ALDH1B1,1.09077629565965,8.15282148990909,16.1792076474519,1.08958664648798e-17,2.78818268027893e-15,30.1174100573361,ALDH1B1
ADK,1.6851925695716,6.66171605001482,16.1123774614497,1.23672386625397e-17,3.09876623738261e-15,30.1478259409194,ADK
CEACAM6,-2.03422202337496,9.09094289922199,-17.1285907036184,1.85908597293066e-17,4.56310755029329e-15,29.696417777467,CEACAM6
FSTL1,4.69283839769429,4.4190555054211,15.733530102548,2.55554146341038e-17,6.14709943608733e-15,28.9350171614871,FSTL1
GJB1,1.17189837240838,7.56565361043522,15.5395971765786,3.72468645455982e-17,8.72233338582615e-15,28.9367556763803,GJB1
TMEM45B,-1.38678650887703,7.74989423334393,-15.5332403053001,3.77119261713611e-17,8.72233338582615e-15,28.9775131503441,TMEM45B
ARHGAP18,-1.57412863995002,7.77973152430525,-15.5208872591662,3.863275727611e-17,8.76672022188256e-15,28.9767983156727,ARHGAP18
ARID5B,1.40570560361424,6.91537496317584,15.4885306138587,4.1155539101358e-17,9.16625312540801e-15,28.889113313636,ARID5B
PIGR,4.12012867989464,4.61475145577161,15.2636178130198,6.40616007185586e-17,1.40085249425837e-14,27.9410741335175,PIGR
MATN2,2.60253556085443,5.18029255560345,15.1901455140213,7.41028055987083e-17,1.59149007667083e-14,28.3923382199612,MATN2
DUOX2,5.94714898280214,5.79306471409639,15.5045255744093,1.08416719471687e-16,2.28759278085259e-14,27.3007018325748,DUOX2
POF1B,-1.21179189941067,9.374233772932,-14.6471129905203,2.2100765194412e-16,4.58286039643435e-14,27.0233778744822,POF1B
LGR6,2.55586619725643,5.35477376980536,14.6350032695929,2.26535912797653e-16,4.61787698850402e-14,27.2908263863899,LGR6
LIPG,2.38684030148427,7.18781405164122,15.0821102041278,2.63996173128637e-16,5.26453859640614e-14,27.1331315425819,LIPG
LY75,1.97402061837723,5.84600582983513,14.5546112498381,2.67013265470004e-16,5.26453859640614e-14,27.1230753144592,LY75
SLC39A2,-1.53587895094616,7.26888130854665,-14.5313257241735,2.8006980399755e-16,5.37324556437084e-14,26.9941194623711,SLC39A2
AGPAT2,-0.940109268699036,9.31172109675793,-14.5289085488491,2.81462102399071e-16,5.37324556437084e-14,26.7368660184519,AGPAT2
NEK6,1.53083525366788,6.81317962476562,14.4962452823899,3.00986922177094e-16,5.65620267659985e-14,26.9427866355211,NEK6
SERTAD4,2.5263507487414,4.45267074789392,14.447940264727,3.32438624312405e-16,6.15113743785431e-14,26.8602060606025,SERTAD4
AMOT,1.90542385748518,6.03232639058798,14.3799488268019,3.82511123368459e-16,6.97039587992797e-14,26.7419424130436,AMOT
PDLIM1,0.974680045415083,8.94254559945566,14.3573888894443,4.00781694283865e-16,7.19433050321201e-14,26.3690905783523,PDLIM1
SCARB1,-0.89896440746555,8.46886095387615,-14.2947137776577,4.5637812036427e-16,8.07185243179569e-14,26.330866487807,SCARB1
TSPAN8,-1.19031679230943,10.13826395874,-14.3931493870501,4.9164286776081e-16,8.56954894283952e-14,26.1097282016884,TSPAN8
IMPDH1,-1.22676036992411,7.86601625249533,-14.1707559571065,5.90787565545804e-16,1.01505743583134e-13,26.1944263422724,IMPDH1
IFIT3,1.90251833955494,6.51070231318512,13.9681211143154,9.04090670081537e-16,1.53147866043248e-13,25.8904343211704,IFIT3
PRSS23,-1.18466640578402,7.9503757431618,-13.7857326169626,1.33095180642776e-15,2.21691546149846e-13,25.3694839692928,PRSS23
ITLN1,4.83153789849131,0.980397700254053,13.780596261645,1.3455959814533e-15,2.21691546149846e-13,23.4805182750032,ITLN1
SERPINB6,0.97956488784894,7.49806699553289,13.6271610320889,1.86833303693577e-15,3.03654613989548e-13,24.9905885451311,SERPINB6
