,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
CD44,3.56122482226434,11.2512440215747,67.5557215907861,2.8332373217016e-38,3.40753452681052e-34,77.005511169546,CD44
LAPTM4B,2.21026419391063,8.75164639415463,34.319715309978,2.83679188637532e-28,1.7059048008718e-24,54.5360906303019,LAPTM4B
SDC1,1.55086066107516,9.19992785815814,27.6462850518465,3.8372936061594e-25,1.5383710067093e-21,47.3756131922679,SDC1
GCNT3,3.53045772597582,7.11224138629485,26.3655809936263,1.8367336696884e-24,4.20010111082052e-21,45.6090162017824,GCNT3
HAS3,3.1799645397217,6.88076835189828,26.2826880360107,2.03746315551514e-24,4.20010111082052e-21,45.4914222034743,HAS3
SLC39A8,4.04523967880613,6.74712812911605,26.2603435722288,2.09533604929933e-24,4.20010111082052e-21,45.279994392281,SLC39A8
SCIN,2.50699263549068,6.78111804954095,24.804525145789,1.36355853381339e-23,2.34278835516767e-20,43.7900699532674,SCIN
HPDL,3.29702414728541,5.9587883476202,24.5186907728084,1.99254499894069e-23,2.99554233778246e-20,43.1112119442535,HPDL
SLC40A1,-1.68992616782379,9.74716170075993,-23.8407917510966,4.97813847563697e-23,6.65245238294287e-20,42.4888333873662,SLC40A1
CISH,3.41437233127774,6.10016100610044,23.6355323742127,6.5987034179659e-23,7.93626060078758e-20,42.0693686370019,CISH
HKDC1,1.61607888129807,8.54997560486168,23.3963552227441,9.18902554763038e-23,1.00469463873955e-19,41.8953256271732,HKDC1
CLDN2,2.80918259680418,8.19463344522582,23.7586692864225,1.83536543869548e-22,1.83949501093255e-19,41.2634218467995,CLDN2
SECTM1,2.67150038439578,6.27775767913722,22.3443054875023,4.08935702845352e-22,3.78328438317004e-19,40.2990411761693,SECTM1
CCL26,10.1715258804976,3.09965108687857,22.1150407367187,5.70818448308266e-22,4.90373819843109e-19,34.9947125040754,CCL26
GNE,2.91866428831379,6.50489671153438,21.5596999061817,1.29670551663753e-21,1.03969848323997e-18,39.206801913258,GNE
