,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
MT2A,-3.00014593506454,8.25997653888393,-25.2620236227776,7.49058671639147e-24,9.00892864380403e-20,44.1058627511248,MT2A
MT1F,-3.35431705799185,7.34049643264989,-22.1643616672354,5.3116340102668e-22,3.19415111207394e-18,39.6822159138169,MT1F
MT1G,-3.67198598495031,8.75226020975582,-25.181543341184,9.84796710339364e-22,3.94805001175051e-18,39.4341884613016,MT1G
NFKBIA,1.66785307671704,8.19167712766217,20.9323228520143,3.35036796788523e-21,1.00737188874389e-17,38.3325234931378,NFKBIA
NFE2L3,1.28967439061067,9.01798301274604,19.6810874981678,2.39810090964094e-20,4.87861151283955e-17,36.3666079530742,NFE2L3
IL2RG,1.50648743434199,7.80647393231461,19.6719312316001,2.43382963973038e-20,4.87861151283955e-17,36.3648909148673,IL2RG
CCL20,4.17497883494536,6.7497937810597,18.5173667930799,1.64784667024049e-19,2.83123598614034e-16,33.0564263425113,CCL20
SLC26A2,-1.4587874234654,8.56741659350737,-18.5428533363826,1.99492188485262e-19,2.99911568864031e-16,34.2171474061706,SLC26A2
MT1H,-4.6251933664226,5.96632530569409,-18.0662151398779,3.57395825890175e-19,4.77599955331238e-16,32.0979775709917,MT1H
IL32,2.19029066083514,5.38526189474629,17.3674573178904,1.22360498701171e-18,1.34428163891352e-15,32.0774879819146,IL32
TNFAIP3,2.83787642960554,6.4473936267429,17.3647755873157,1.2294918124261e-18,1.34428163891352e-15,32.2431292750565,TNFAIP3
LAMC2,1.49355220535434,8.96252746333425,17.2330523151112,2.32570810155131e-18,2.3309409447798e-15,31.7849980451606,LAMC2
RELB,2.46853294819107,5.39766111097517,16.4340923724886,6.74619199843839e-18,6.24126547424757e-15,30.3510348039819,RELB
NFKBIE,2.04013556771648,5.08116186778072,15.4518724864178,4.42186580224766e-17,3.79869857168804e-14,28.5378058538877,NFKBIE
GPX2,0.995020273560664,11.0093426377423,15.4054384681913,4.8437013413686e-17,3.88367973550934e-14,28.5858555016072,GPX2
TAP1,1.06646694609958,7.90386871596809,15.3487784105535,5.41484344675066e-17,4.07027013337938e-14,28.6752528834547,TAP1
SLC26A3,-1.1991034938401,7.0850843415074,-15.1818558424278,7.53327543755781e-17,5.32957080514752e-14,28.3218208374127,SLC26A3
MT1X,-3.25657587290323,5.8184817618178,-15.105845874795,8.76340365455455e-17,5.8554142085182e-14,27.6556831527303,MT1X
