,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
CCL20,6.82351496782075,6.7497937810597,30.7477374789464,1.12237164496614e-26,1.34987637740077e-22,47.7788903825332,CCL20
LCN2,6.70111767902259,6.3787996615402,29.5368229984272,4.27774292257524e-26,2.57242070649062e-22,47.1353191546576,LCN2
MT2A,-3.37276907796903,8.25997653888393,-22.1380296549226,5.51969760508576e-22,2.1058125532523e-18,39.9243476366894,MT2A
SLC26A2,-2.12639432426432,8.56741659350737,-22.1678044336892,7.00361703916953e-22,2.1058125532523e-18,39.8986540825091,SLC26A2
MT1F,-4.43194350094685,7.34049643264989,-18.8348002302851,9.64612266236034e-20,1.9672623747041e-16,34.3150853323658,MT1F
MT1G,-4.62413483414017,8.75226020975582,-21.4221815748145,9.81422985634373e-20,1.9672623747041e-16,34.7995974017894,MT1G
SLC26A3,-1.74550222852904,7.0850843415074,-17.5717649908026,8.50344166348898e-19,1.46101275552546e-15,32.8269346996409,SLC26A3
GMDS,1.22821175241425,8.27968860128526,16.817971007511,3.3128107497501e-18,4.98039686090555e-15,31.4151686191755,GMDS
TNFAIP3,2.84045280362023,6.4473936267429,16.6569789716028,4.4570480669561e-18,5.95610190014234e-15,31.1304704108305,TNFAIP3
NFKBIA,1.43352221465668,8.19167712766217,16.3400944468465,8.04538777061897e-18,9.67618787172344e-15,30.5502242020578,NFKBIA
LAMC2,1.50472796622033,8.96252746333425,15.9011981096291,2.66387395001973e-17,2.91258290880794e-14,29.2691510019347,LAMC2
NFE2L3,1.05748240319291,9.01798301274604,14.5301044385425,2.8077238323981e-16,2.814041211021e-13,26.8811409623344,NFE2L3
NFKBIZ,4.96465423618213,4.76031264348196,14.216175339009,5.37369488896908e-16,4.97149449458701e-13,25.2296587380607,NFKBIZ
MT1H,-5.5750769168012,5.96632530569409,-14.1304964904144,6.42677171435175e-16,5.52105595775061e-13,24.7169726651697,MT1H
IL2RG,1.1765560123528,7.80647393231461,13.8389096750615,1.18859492012257e-15,9.53015406954275e-13,25.535868264745,IL2RG
BIRC3,3.71187448361047,4.98635924946351,13.746852215436,1.4459953680721e-15,1.07798701490532e-12,25.0826677578412,BIRC3
ZC3H12A,3.95436293917595,4.31202892976795,13.7223374212464,1.52371990133786e-15,1.07798701490532e-12,24.6061304638295,ZC3H12A
MUC20,-0.803986783189522,9.204135838519,-13.6313086154899,1.85176783067714e-15,1.23728953886411e-12,24.9429858186961,MUC20
DUOXA2,4.93434581061407,4.10610650967526,13.4102392714346,2.98462260714627e-15,1.86420759072976e-12,22.5729388875933,DUOXA2
PDZK1IP1,1.87997697455597,5.55701240707852,13.3927744862472,3.10003756669121e-15,1.86420759072976e-12,24.6715950411983,PDZK1IP1
SLCO2B1,-1.8503811641366,5.9860320998652,-13.0526328690013,6.53505720929934e-15,3.74272062172586e-12,23.9633265201888,SLCO2B1
MT1X,-4.126151018394,5.8184817618178,-12.981129823008,7.65702099577515e-15,4.18595415982671e-12,23.1348699269372,MT1X
AQP8,-1.62145012099295,5.17053734225797,-12.7756962700352,1.2110964182637e-14,6.33298114019893e-12,23.3004643438081,AQP8
IL4I1,5.1783016534463,2.1424694606193,12.6709264376265,1.53301660910742e-14,7.68232948238957e-12,20.8474490378013,IL4I1
KRT19,-0.765498658568099,9.8182586869819,-12.5012305534408,2.25184329185554e-14,1.08331677084586e-11,22.3381017869241,KRT19
GPX2,0.895543478287932,11.0093426377423,12.4578837885907,2.48559683890483e-14,1.14977973775032e-11,22.1814158378691,GPX2
SLC30A2,-3.2573568462521,5.4865477191451,-12.4156966163609,2.7369616597722e-14,1.21916436600297e-11,22.2375726729013,SLC30A2
VAV3,-1.23471889213731,7.71929531182231,-12.3647532874894,3.07548045154762e-14,1.32038914547103e-11,22.2835981616154,VAV3
RELB,2.01599262072205,5.39766111097517,12.3496608215681,3.18377693678056e-14,1.32038914547103e-11,22.3727541887465,RELB
TRIM31,1.46489341120752,6.16995141653945,12.1491722329418,5.0550062378203e-14,2.02655200074216e-11,21.9192422968645,TRIM31
HMGCS2,-0.758467319601781,10.0777806124464,-11.9630996197203,7.79741091774184e-14,3.02514390669939e-11,21.0521762374569,HMGCS2
MT1E,-4.36643142363224,5.00848111356996,-11.8008260071115,1.14183245721784e-13,4.29150592592469e-11,19.9876544080359,MT1E
