,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
CCL20,6.79644890441054,6.7497937810597,30.6211931479567,1.28782254522104e-26,1.54886417513735e-22,46.8323799063589,CCL20
LCN2,6.78321113525669,6.3787996615402,29.9145373275109,2.80300951982768e-26,1.68558977474838e-22,46.754922305431,LCN2
SLC26A2,-2.19295454139432,8.56741659350737,-22.7058185969094,3.24328732229997e-22,1.30023388751006e-18,40.6730472782414,SLC26A2
SLC26A3,-1.94468779363248,7.0850843415074,-18.8795574245451,8.94999800762009e-20,2.69104065094117e-16,35.0569741032475,SLC26A3
GMDS,1.24609883082962,8.27968860128526,17.0922419831719,2.00867100281682e-18,4.53853275389836e-15,31.9550764542674,GMDS
TNFAIP3,2.89595211238321,6.4473936267429,17.026284046141,2.26417198997174e-18,4.53853275389836e-15,31.7104422100299,TNFAIP3
NFKBIA,1.43714983540309,8.19167712766217,16.388668797479,7.34477056777536e-18,1.26193650883763e-14,30.6747037936154,NFKBIA
LAMC2,1.4992348481934,8.96252746333425,15.8407999641611,2.98644182450934e-17,4.48974197792173e-14,29.2114827326716,LAMC2
PDZK1IP1,2.0867318562353,5.55701240707852,15.1537741681298,7.96569734041816e-17,9.66817067495405e-14,28.1541074958837,PDZK1IP1
NFE2L3,1.09921723576342,9.01798301274604,15.1491865489062,8.03872177180847e-17,9.66817067495405e-14,28.205364124911,NFE2L3
NFKBIZ,5.1992058001001,4.76031264348196,14.9618225731899,1.16900926936641e-16,1.27815222569726e-13,26.0879115952131,NFKBIZ
GPX2,0.978122411383186,11.0093426377423,13.6531875162584,1.76684030887924e-15,1.77081569957422e-12,24.9470728081502,GPX2
MUC20,-0.787318766608921,9.204135838519,-13.376855960166,3.2092127546942e-15,2.96901552313132e-12,24.4563523434956,MUC20
BIRC3,3.61148999688354,4.98635924946351,13.3159688555046,3.66443089243968e-15,3.14800788166943e-12,24.0193205652245,BIRC3
DUOXA2,4.79970394790842,4.10610650967526,12.9725824068785,7.80373302169111e-15,6.25703313679193e-12,21.1837484772038,DUOXA2
SLCO2B1,-1.8061080707022,5.9860320998652,-12.8751075360004,9.69524601884606e-15,6.78640694819558e-12,23.5646656926509,SLCO2B1
RELB,2.08899962216981,5.39766111097517,12.8745361265377,9.70762024778705e-15,6.78640694819558e-12,23.4692623730174,RELB
IL2RG,1.0987955635831,7.80647393231461,12.8542854556082,1.01567577174292e-14,6.78640694819558e-12,23.4323258436393,IL2RG
AQP8,-1.62213855231817,5.17053734225797,-12.7855191943664,1.18470289175986e-14,7.49916930483991e-12,23.3560984825612,AQP8
HMGCS2,-0.79736251242184,10.0777806124464,-12.5479159269528,2.02511638068983e-14,1.21780373552783e-11,22.5061119448591,HMGCS2
ZC3H12A,3.65934001885691,4.31202892976795,12.5177333128036,2.16887103055838e-14,1.24214342307265e-11,21.9092914284639,ZC3H12A
IL4I1,5.12041686927006,2.1424694606193,12.4938427190351,2.29003303893381e-14,1.25191942542077e-11,19.8895557173633,IL4I1
IL32,1.72010295545769,5.38526189474629,12.4069628755547,2.79216867187053e-14,1.46006141811247e-11,22.482547587266,IL32
CYP1A1,-1.68676508795726,6.79106057862491,-12.3538444247896,3.15337235262778e-14,1.5802337202106e-11,22.4076545531459,CYP1A1
MMP7,1.92752455952516,7.25792669599981,12.3420433189983,5.6409064397199e-14,2.71372727002045e-11,21.8346952396143,MMP7
DUOX2,4.61499961275201,5.79306471409639,11.732506298972,2.64877359289152e-13,1.22446135189031e-10,19.594944255125,DUOX2
IFNGR1,1.10150984500416,7.63347098957396,11.4322038029912,2.74885312222818e-13,1.22446135189031e-10,20.1143548017195,IFNGR1
