,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
CCL20,6.78714797245489,6.7497937810597,30.9090360825437,9.42642478379533e-27,1.13371610874706e-22,46.9138727554014,CCL20
LCN2,6.7667595029696,6.3787996615402,30.1917676848761,2.06176219708579e-26,1.23984069721754e-22,46.8696845193505,LCN2
SLC26A2,-2.17155296993593,8.56741659350737,-25.864558907723,4.77562744240352e-24,1.91454904165957e-20,44.8756812540094,SLC26A2
SLC26A3,-2.01991047040865,7.0850843415074,-22.4208244703896,3.66101490127275e-22,1.10077565544018e-18,40.5078303277256,SLC26A3
LAMC2,1.72731298974075,8.96252746333425,20.1331791793288,1.87122722293337e-20,4.50104996204392e-17,36.6113708902296,LAMC2
NFKBIA,1.48624381661222,8.19167712766217,18.4836687781058,1.74500925168219e-19,3.49787104499694e-16,34.4025373654194,NFKBIA
TNFAIP3,2.92973039258502,6.4473936267429,17.9952960230835,4.04227565638091e-19,6.94520704561331e-16,33.3822375874369,TNFAIP3
GMDS,1.13014356878086,8.27968860128526,16.8428572161064,3.16494130765458e-18,4.75809363839521e-15,31.480268634717,GMDS
AQP8,-1.93896624386559,5.17053734225797,-16.5913728174487,5.03310918304458e-18,6.72591157160858e-15,31.0646659599388,AQP8
NFE2L3,1.07386507406626,9.01798301274604,16.2337611178476,9.82848417587342e-18,1.1820717918323e-14,30.2925116042485,NFE2L3
PDZK1IP1,2.04069799318983,5.55701240707852,15.6442706939077,3.0380360496201e-17,3.32167814261645e-14,29.1047759742129,PDZK1IP1
HMGCS2,-0.87241311505792,10.0777806124464,-15.3840096812909,5.05207326262557e-17,5.06344042746647e-14,28.5252966614713,HMGCS2
IL2RG,1.18848729499835,7.80647393231461,15.264913606622,6.38976017179143e-17,5.9115111989335e-14,28.4972425738923,IL2RG
SLCO2B1,-1.80253530278547,5.9860320998652,-14.9779881221905,1.13168846333852e-16,9.72201224898029e-14,27.964652575609,SLCO2B1
NFKBIZ,5.10533910505822,4.76031264348196,14.8742433574405,1.39429577917183e-16,1.11794635573997e-13,25.8694974894174,NFKBIZ
MMP7,2.19587529263334,7.25792669599981,15.1184016182749,1.77798783218531e-16,1.3364912286058e-13,27.5560968187861,MMP7
MUC20,-0.750981063700513,9.204135838519,-14.4590865696968,3.24894384025145e-16,2.29853220980613e-13,26.7105683663457,MUC20
CYP1A1,-1.63477250614386,6.79106057862491,-14.0397376879382,7.77479283726446e-16,5.19485741409887e-13,26.0690394563817,CYP1A1
ZC3H12A,3.9406824718215,4.31202892976795,14.0033725259684,8.39325018943215e-16,5.31292736991055e-13,24.7841228775215,ZC3H12A
BIRC3,3.66747262085874,4.98635924946351,13.9418166084677,9.55736637444114e-16,5.74732226927018e-13,25.2546838292304,BIRC3
IL32,1.74677915809995,5.38526189474629,13.4731496446967,2.60409886683448e-15,1.49140462244849e-12,24.8041437019607,IL32
TRIM31,1.49966973573798,6.16995141653945,13.4140421388451,2.96008023765751e-15,1.61822204628668e-12,24.7466837248285,TRIM31
IL4I1,5.28316076515087,2.1424694606193,13.3634195583262,3.3044242869658e-15,1.72792656084077e-12,21.3718323074466,IL4I1
GPX2,0.86033464324605,11.0093426377423,13.2729261361187,4.02568770801578e-15,2.01737275267941e-12,24.0549112276706,GPX2
DUOXA2,4.74990378725424,4.10610650967526,13.1288359039384,5.52325338996468e-15,2.65712674084421e-12,21.4163283624362,DUOXA2
RELB,2.00299666776363,5.39766111097517,12.9944696404567,7.4336664267497e-15,3.4386425428661e-12,23.74391595804,RELB
IFNGR1,1.08648998785685,7.63347098957396,12.3040040704834,3.53574836258336e-14,1.5749794650663e-11,22.1452306491692,IFNGR1
DUOX2,4.84264344315716,5.79306471409639,12.5826484177777,3.98192224832994e-14,1.71037781716658e-11,21.2452612471253,DUOX2
APOBEC3C,-1.33125991629561,5.36311909359506,-12.1876537066418,4.62404088379392e-14,1.91770136928929e-11,22.0304581234775,APOBEC3C
SLC39A2,-1.00886418735212,7.26888130854665,-12.0573697140362,6.25690731258928e-14,2.44384035552697e-11,21.5700922251834,SLC39A2
CEACAM7,0.863370391578938,7.86575641806015,12.0544856588478,6.29908131881068e-14,2.44384035552697e-11,21.4057946513832,CEACAM7
VAV3,-0.97692252413937,7.71929531182231,-11.6786461225742,1.52494713905884e-13,5.73141851295647e-11,20.6402626449611,VAV3
NFKBIE,1.58841197259984,5.08116186778072,11.616633039769,1.76741077811417e-13,6.44140891769065e-11,20.6587846990832,NFKBIE
NCOA7,1.5617875498231,6.73782103237898,11.5850397324495,1.90574597417979e-13,6.74129612690008e-11,20.5951875535732,NCOA7
NAMPT,1.04499320529094,7.29658079929137,11.2504370071626,4.26588964126713e-13,1.46588156330057e-10,19.692005514335,NAMPT
IRAK2,1.51725421507857,5.83848654414957,11.1644183296679,5.25971669805658e-13,1.75718368687574e-10,19.633004893492,IRAK2
BBLN,1.59583197423615,4.4218726286864,10.8842674390023,1.04717092548597e-12,3.40387154616749e-10,18.8754313886016,BBLN
NFKB2,2.66762996652231,4.86232015784466,10.7936063365155,1.31138679106175e-12,4.15053919371045e-10,18.55424334326,NFKB2
MT1H,-1.2862665982569,5.96632530569409,-10.7432790862617,1.48652074597441e-12,4.5842012850857e-10,18.4875473926337,MT1H
MUC13,0.578198465601149,10.3036983908912,10.7272173411287,1.54730231530089e-12,4.62235588987728e-10,18.0057860627328,MUC13
HAVCR1,-0.790853777550977,7.62410702720944,-10.7199174935765,1.57575947023338e-12,4.62235588987728e-10,18.2946283541421,HAVCR1
PIR,1.38224417046341,6.11423453909931,10.6578384434662,1.84042830089265e-12,5.27019789877046e-10,18.380138587468,PIR
KRT19,-0.572529808640258,9.8182586869819,-10.6418725274327,1.91555972720541e-12,5.35777600909289e-10,17.8282694072074,KRT19
EHF,0.728392534424804,9.21546771713432,10.626578114822,1.99046740968925e-12,5.44076171280286e-10,17.8954337973462,EHF
SLC39A5,-0.682968377331362,7.6218768393196,-10.413300346716,3.40908957889823e-12,9.11136008120199e-10,17.5410258119138,SLC39A5
MT1F,-0.987100985941248,7.34049643264989,-10.2421116759922,5.27306459799045e-12,1.37867712869633e-09,17.0501638415169,MT1F
SQSTM1,0.553726141479771,9.31049834303412,10.23344254679,5.39137851734781e-12,1.37961934953494e-09,16.8622956048767,SQSTM1
PI3,3.03400706216192,3.7533126745369,10.1918018030009,5.99856869612909e-12,1.50301636892385e-09,16.6151809815467,PI3
MAP3K8,2.40482276224072,3.47110553253371,10.1032056547366,7.53330879583625e-12,1.84904295688822e-09,16.6656606448282,MAP3K8
IKBKE,1.66629597569297,5.57154327421391,9.92295602449535,1.20129985648453e-11,2.8896066747879e-09,16.558837120642,IKBKE
SCARB1,-0.531184273151563,8.46886095387615,-9.90045844127235,1.27372702279318e-11,3.00374802022227e-09,16.0473514324885,SCARB1
MISP,-0.582170503757292,9.25905859978653,-9.69054315156626,2.20643625874039e-11,5.10323247766743e-09,15.4106083000985,MISP
ERO1A,0.854861231749286,8.76473885280414,9.7640332679555,2.25827392370066e-11,5.12457744912223e-09,15.4681734343359,ERO1A
ACSF2,-1.08505464011101,6.31236751177168,-9.64669152338017,2.4765919101887e-11,5.51592053774806e-09,15.7607432297406,ACSF2
CAPN5,-1.19565564081311,6.23172313527022,-9.60985751238114,2.72944417185644e-11,5.96855000998498e-09,15.6194862778297,CAPN5
ARRDC3,2.12156007603377,8.19295769058779,12.03366376108,2.89680354281451e-11,6.22140289454109e-09,15.7831691543328,ARRDC3
SLC3A1,-1.01319018555621,6.8655581702679,-9.5340736605621,3.3356541398335e-11,7.03823023504868e-09,15.3656835890042,SLC3A1
PTGES2,0.822184977164174,7.07367759504809,9.52572622677791,3.41032332113444e-11,7.07171699711792e-09,15.3075594338248,PTGES2
MYO1A,-1.05045044092218,6.76891983459265,-9.51926545181235,3.4692832597081e-11,7.07204572279819e-09,15.305529900042,MYO1A
