,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
SLC26A2,-1.74828984016793,8.56741659350737,-21.6468463903767,1.49928824245923e-21,1.13340452496948e-17,39.1494578240424,SLC26A2
NFKBIA,1.69370939533948,8.19167712766217,21.3072644931853,1.89433824363919e-21,1.13340452496948e-17,38.8589867772047,NFKBIA
IL2RG,1.60163527680184,7.80647393231461,21.0433791898411,2.82715022441876e-21,1.13340452496948e-17,38.4563053150501,IL2RG
NFE2L3,1.24143993440859,9.01798301274604,18.9159017390861,8.42276361487987e-20,2.07290215848521e-16,35.1285540631532,NFE2L3
IL32,2.35995417700262,5.38526189474629,18.902198606894,8.61770249640479e-20,2.07290215848521e-16,34.3159586530524,IL32
SLC26A3,-1.53799685121053,7.0850843415074,-18.4764486712976,1.76658098245963e-19,3.3418365634725e-16,34.3900778266174,SLC26A3
CCL20,4.15378114335754,6.7497937810597,18.4199778254698,1.94502834824208e-19,3.3418365634725e-16,32.4460944025922,CCL20
GPX2,1.10996949484281,11.0093426377423,17.2590861641274,1.48620814729197e-18,2.23432817343507e-15,32.1729469362198,GPX2
LAMC2,1.43568655499488,8.96252746333425,16.5366769131119,8.16366078135267e-18,1.09093720241476e-14,30.5617857174801,LAMC2
RELB,2.4456036563781,5.39766111097517,16.2744872695962,9.10198654701246e-18,1.09469592200919e-14,29.8589796113207,RELB
TNFAIP3,2.64251839521739,6.4473936267429,16.0400368402577,1.41911822224184e-17,1.55161225990024e-14,29.7740646814362,TNFAIP3
NFKBIE,2.06141872314104,5.08116186778072,15.6495763261866,3.00690173048531e-17,3.0136672593789e-14,28.6965773413707,NFKBIE
SLCO2B1,-1.84485111614572,5.9860320998652,-15.1627150455578,7.82532609171117e-17,7.23963053115463e-14,28.2348500161474,SLCO2B1
SQSTM1,0.790000881576127,9.31049834303412,14.7623967063114,1.74817441238917e-16,1.50180668984318e-13,27.4329131655274,SQSTM1
STAP2,1.18341386766983,7.13937905375953,14.3520561463987,4.05229653504346e-16,3.20263928902422e-13,26.7140282952208,STAP2
PSME2,1.29904434194026,7.46277298039293,14.3278548995745,4.26059937011619e-16,3.20263928902422e-13,26.6620124442138,PSME2
AQP8,-1.52342453338066,5.17053734225797,-14.0911135601834,6.9795986754098e-16,4.93786078053845e-13,26.176458651703,AQP8
HLA-B,0.848111381429526,8.96209216181367,13.510354546382,2.40280066696572e-15,1.60547131231093e-12,24.8159250728798,HLA-B
PIR,1.70921356108908,6.11423453909931,13.4852674115379,2.53670615876856e-15,1.6057349985005e-12,24.8444228240031,PIR
BCL3,1.3959092718058,5.73826467728483,12.8537471241805,1.01689832740796e-14,6.11511809186777e-12,23.5042227874943,BCL3
BIRC3,3.39867552852653,4.98635924946351,12.8069484959482,1.12914677923765e-14,6.46678491137678e-12,22.5916161231682,BIRC3
TAP1,0.88297313886406,7.90386871596809,12.5788771495406,1.88775842262492e-14,1.03200320676863e-11,22.8472575520558,TAP1
IRAK2,1.67986207923365,5.83848654414957,12.5125437862257,2.19462024750939e-14,1.14759555290415e-11,22.6988039495263,IRAK2
IL4I1,4.98604114998186,2.1424694606193,12.4701152357482,2.41722804946122e-14,1.21133340628626e-11,18.6281652447998,IL4I1
CYP1A1,-1.36891059639616,6.79106057862491,-12.4042082598674,2.80981615766547e-14,1.35174635712971e-11,22.5203821748137,CYP1A1
GMDS,0.835474883582949,8.27968860128526,12.2053846357506,4.43829468423007e-14,2.05305269873981e-11,21.9598135844749,GMDS
MUC20,-0.605030954788429,9.204135838519,-11.7907923327265,1.16920607641791e-13,5.20816351151044e-11,20.8557465625792,MUC20
TM4SF1,1.00167992666909,7.58185468996194,11.6811193509847,1.51601436560842e-13,6.51182313399015e-11,20.7931899992311,TM4SF1
TRIM31,1.31899137094285,6.16995141653945,11.6171001703271,1.76544423087228e-13,7.32172336713826e-11,20.7082137277237,TRIM31
NFKB2,2.83018460805348,4.86232015784466,11.528546141642,2.18132993099478e-13,8.74495169335806e-11,19.976820256457,NFKB2
OBSCN,2.76545589714435,3.66521984567277,11.5108269644445,2.27590704152991e-13,8.82978515757425e-11,19.788135795939,OBSCN
NPTX2,1.00987361873221,7.3212894499842,11.4619512467118,2.5591046017266e-13,9.61823470155182e-11,20.2955902074852,NPTX2
IFNGR2,0.92328539448537,7.1796037716028,11.4481206660452,2.64560195640192e-13,9.64201658474116e-11,20.2424277174827,IFNGR2
SMPD3,-1.83804048042088,5.64062376683281,-11.1055628464909,6.07335602738121e-13,2.14836038062688e-10,19.4054308056227,SMPD3
HAVCR1,-0.821185427641621,7.62410702720944,-11.0578283829786,6.8270387747413e-13,2.34596558125182e-10,19.245432156351,HAVCR1
SCARB1,-0.589128804591651,8.46886095387615,-10.9172400741681,9.65147711862018e-13,3.22439764737902e-10,18.7858502667636,SCARB1
LTB,3.73019784341886,0.707326213820495,10.8949987501855,1.01972217318674e-12,3.31464826403161e-10,15.586504683008,LTB
MUC13,0.582465696109418,10.3036983908912,10.8037384962961,1.27875614734074e-12,4.04726320633343e-10,18.3365380601864,MUC13
MMP7,1.62314094508865,7.25792669599981,10.8531060933455,1.78110185772251e-12,5.46580651859659e-10,18.4365024210849,MMP7
ACSF2,-1.2260888508693,6.31236751177168,-10.6627677117105,1.81784535415202e-12,5.46580651859659e-10,18.4108848959828,ACSF2
TAPBP,0.754247937782498,9.69697471554651,10.5792459589842,2.24178878139228e-12,6.57609601800121e-10,17.8450752774137,TAPBP
CAPN5,-1.35452292660413,6.23172313527022,-10.5395218663913,2.47759955971642e-12,7.0947833106451e-10,18.0925282540904,CAPN5
BCAS1,-1.9532770557247,4.59529969727298,-10.3606904149438,3.8965143502501e-12,1.08984600210367e-09,17.4863087519264,BCAS1
VAV3,-0.845154338158858,7.71929531182231,-10.2801905185573,4.78392644363813e-12,1.30764280312809e-09,17.261871521176,VAV3
PTMA,0.676446782001584,9.73394464964003,10.0638369890958,8.33859557087103e-12,2.22862864290813e-09,16.4972275966954,PTMA
NTRK2,0.733810807691252,6.36671149079739,9.90219601937411,1.26797785479784e-11,3.31521079557686e-09,16.3242857072884,NTRK2
