,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
NFKBIA,1.59877898936688,8.19167712766217,19.9857508320021,1.47089473100917e-20,1.53072418525534e-16,36.866159648135,NFKBIA
IL2RG,1.50439643443251,7.80647393231461,19.6441831231375,2.54547964622157e-20,1.53072418525534e-16,36.3200940926275,IL2RG
NFE2L3,1.24275449778276,9.01798301274604,18.9246931277802,8.30008694946289e-20,3.32750485803967e-16,35.1227074319845,NFE2L3
LAMC2,1.5910758345214,8.96252746333425,18.4320565901756,2.93627212647614e-19,8.82863621628214e-16,33.8666870298853,LAMC2
SLC26A2,-1.40883799002432,8.56741659350737,-17.9981551627172,5.04621561087869e-19,1.21381670304076e-15,33.2803506242973,SLC26A2
IL32,2.19930265115936,5.38526189474629,17.4493834971259,1.05702975052061e-18,2.11881613491857e-15,32.2105965866381,IL32
CCL20,3.91435870506842,6.7497937810597,17.2392609732652,1.54018339894171e-18,2.6462551055817e-15,31.0773437916762,CCL20
TNFAIP3,2.78975841221607,6.4473936267429,17.0381489322073,2.21586585645959e-18,3.33127733195494e-15,31.6750899602677,TNFAIP3
RELB,2.45254712922861,5.39766111097517,16.314248638891,8.44575225382201e-18,1.12863402618575e-14,30.1347731629448,RELB
SLC26A3,-1.27506875328395,7.0850843415074,-15.9643039511336,1.63979267251262e-17,1.97217864723093e-14,29.8584817526408,SLC26A3
NFKBIE,2.0586074719927,5.08116186778072,15.6129642379334,3.22859749015223e-17,3.53003109218735e-14,28.8293886163874,NFKBIE
GPX2,1.00095111361722,11.0093426377423,15.5011674792402,4.01507564475785e-17,4.02410956495855e-14,28.7779210388486,GPX2
AQP8,-1.63111504276904,5.17053734225797,-14.8007321575687,1.61753960224668e-16,1.49647298432468e-13,27.6229346240289,AQP8
SLCO2B1,-1.59468470998189,5.9860320998652,-13.7131398561301,1.55397313091152e-15,1.26888869109787e-12,25.3807504592896,SLCO2B1
SQSTM1,0.735740913549362,9.31049834303412,13.704618744886,1.58255012608864e-15,1.26888869109787e-12,25.1476113291632,SQSTM1
STAP2,1.11485652178973,7.13937905375953,13.4568137801024,2.69786243780323e-15,2.02794947121622e-12,24.805158848813,STAP2
IRAK2,1.77918676043612,5.83848654414957,13.3412601992598,3.46781066892535e-15,2.45337405383324e-12,24.5451026115158,IRAK2
NFKB2,3.18323857139685,4.86232015784466,13.1896345080207,4.83185621256542e-15,3.1191786055672e-12,23.695360604902,NFKB2
IL4I1,5.2261533514382,2.1424694606193,13.1807012706117,4.92761233106982e-15,3.1191786055672e-12,20.5874215378828,IL4I1
MUC20,-0.677137182314047,9.204135838519,-13.0959422459955,5.93873954469841e-15,3.57126102520439e-12,23.8072699655639,MUC20
TAP1,0.914203275147158,7.90386871596809,13.03760598015,6.75599519858418e-15,3.86925496444628e-12,23.8323049780182,TAP1
BCL3,1.37707906346515,5.73826467728483,12.6488643988832,1.61129165059942e-14,8.80863849170876e-12,23.0706116258394,BCL3
OBSCN,2.99111148661015,3.66521984567277,12.5488394294366,2.02087487633892e-14,1.05674183207514e-11,22.2240113187868,OBSCN
NTRK2,0.915438218781765,6.36671149079739,12.4813345241271,2.35620838256286e-14,1.18075492571182e-11,22.5843626165284,NTRK2
TAPBP,0.869312813334574,9.69697471554651,12.2465721824114,4.0356985921096e-14,1.94149387869209e-11,21.8347012802357,TAPBP
BIRC3,3.25626797062341,4.98635924946351,12.2027606346644,4.46529482250917e-14,2.06554233962761e-11,21.5774297392812,BIRC3
PIR,1.54639705351071,6.11423453909931,12.0481242456441,6.39313587897823e-14,2.8477868598693e-11,21.7103049754363,PIR
PSME2,1.08539251076678,7.46277298039293,11.822156040954,1.08579575014421e-13,4.66388053106584e-11,21.0955224071522,PSME2
NPTX2,1.01625051884898,7.3212894499842,11.527821813614,2.18511621121842e-13,9.06220436976687e-11,20.4113941050614,NPTX2
HLA-B,0.72311396254449,8.96209216181367,11.426966789235,2.78371793882605e-13,1.11599252167536e-10,19.9513100011464,HLA-B
TRIM31,1.28944281552151,6.16995141653945,11.3186062972538,3.61592035746402e-13,1.40286045610386e-10,19.9941985241745,TRIM31
CAPN5,-1.45999190614785,6.23172313527022,-11.1566105069087,5.36090616091831e-13,2.01486307491764e-10,19.5920921903146,CAPN5
MUC13,0.589949602217246,10.3036983908912,10.9403934844879,9.11497195817152e-13,3.32199296184633e-10,18.5976863868534,MUC13
ACSF2,-1.24572855402292,6.31236751177168,-10.7681038588181,1.39733240113366e-12,4.84655020973315e-10,18.6559159679889,ACSF2
CYP1A1,-1.13803658013881,6.79106057862491,-10.7539289839825,1.44756778951682e-12,4.84655020973315e-10,18.550734352742,CYP1A1
NFKB1,1.1912803332703,6.59769394132733,10.7530615995759,1.45070098570212e-12,4.84655020973315e-10,18.5920090488825,NFKB1
CD83,3.19699451750535,2.97378842024409,10.5577332604577,2.36650153854496e-12,7.69240919029197e-10,17.0929386148908,CD83
TM4SF1,0.902375660416991,7.58185468996194,10.4520964936188,3.08986615531149e-12,9.77942638156087e-10,17.7180962778583,TM4SF1
LTB,3.54705931423052,0.707326213820495,10.2216214723668,5.55708660875376e-12,1.71372001649952e-09,14.9199574550296,LTB
MMP7,1.54448201806422,7.25792669599981,10.2581012921163,7.65119661272467e-12,2.30052354153099e-09,16.953677093167,MMP7
PRSS8,-0.539236563909423,9.05275964710393,-9.98518170543453,1.02206559423623e-11,2.99814217119004e-09,16.2748311021117,PRSS8
GMDS,0.684440544237178,8.27968860128526,9.89048020501347,1.30726055890362e-11,3.74343398617472e-09,16.1731211998874,GMDS
BCAS1,-1.80378278696439,4.59529969727298,-9.87395099229674,1.36480254757804e-11,3.81732098598165e-09,16.3897347176891,BCAS1
HAVCR1,-0.703468818192561,7.62410702720944,-9.62254675299992,2.63949534704431e-11,7.21482057702317e-09,15.4901840601241,HAVCR1
CXCL10,3.74622746985515,3.1101886637258,9.33697457131357,5.63964646491887e-11,1.4765386951918e-08,13.8968945814649,CXCL10
DHCR7,0.487772529877686,9.82587967874004,9.3364641544819,5.6473584417413e-11,1.4765386951918e-08,14.482118230438,DHCR7
SLC39A5,-0.600887632306262,7.6218768393196,-9.24352257498164,7.24695521637816e-11,1.85444958271021e-08,14.4989023101473,SLC39A5
MT1H,-1.06876151823006,5.96632530569409,-9.19689505382467,8.21630501801217e-11,2.02205830832475e-08,14.480654512426,MT1H
SOCS2,1.79500823439759,4.55210437817398,9.19590764150596,8.23820213751667e-11,2.02205830832475e-08,14.6448240503447,SOCS2
SDC1,-0.531218488043624,9.19992785815814,-9.1315351911991,9.80181744603721e-11,2.35772916846979e-08,14.0688853920111,SDC1
VAV3,-0.738475639468157,7.71929531182231,-9.09865784560126,1.07138026828008e-10,2.52656676207932e-08,14.0477816816458,VAV3
IKBKE,1.54605271679413,5.57154327421391,9.07247528259169,1.15015490240287e-10,2.66017557907679e-08,14.3471823855842,IKBKE
H2AC6,-1.1152628903902,6.01185245854869,-9.00773169125456,1.37124057542815e-10,3.1116812076744e-08,14.1185690534156,H2AC6
SCARB1,-0.481491840865955,8.46886095387615,-8.99232942704174,1.42992484759804e-10,3.18476039667809e-08,13.6524574669194,SCARB1
APOBEC3C,-0.910141095882851,5.36311909359506,-8.91562741181232,1.76255239621489e-10,3.85422139441391e-08,13.8531172238295,APOBEC3C
KLK10,1.57296216342107,5.11981593084986,8.90220430294907,1.82839898940411e-10,3.92681332956485e-08,13.8948989627832,KLK10
IFNGR2,0.725636807045588,7.1796037716028,8.84977844480997,2.11047050084897e-10,4.45309275679132e-08,13.4876269209217,IFNGR2
LGI4,-1.20938664011863,4.48119044555128,-8.83091281985668,2.22248237295438e-10,4.60858543095212e-08,13.6961962709511,LGI4
ACSS1,0.801335110883174,6.92395960799345,8.81457433410414,2.32436721442159e-10,4.73816347251668e-08,13.4106413487859,ACSS1
IFIH1,1.28559472983945,5.93837791506757,8.77342281362157,2.60255374569421e-10,5.21681898324404e-08,13.5090170174222,IFIH1
SMPD3,-1.30712159889484,5.64062376683281,-8.69535226519061,3.22697618456165e-10,6.29385035284039e-08,13.3169298231852,SMPD3
BTNL8,-1.36361337057198,4.29518856957884,-8.69338727484705,3.24452250666088e-10,6.29385035284039e-08,13.3357648111033,BTNL8
CYP2S1,-0.512446971477589,9.2286118877018,-8.67956214935406,3.3707465358022e-10,6.4349156485862e-08,12.7430849698277,CYP2S1
TAGLN2,0.423228269801378,9.43210847816296,8.65003820109901,3.65727869314129e-10,6.87282669412661e-08,12.6256433580155,TAGLN2
GJB2,0.754273619533679,7.24798778030662,8.58764247757628,4.34706156746377e-10,8.04340145721334e-08,12.8132286339484,GJB2
GALM,-0.695287547084118,7.45145375093044,-8.57159358215504,4.54496465852955e-10,8.21850000421193e-08,12.6845478131941,GALM
PI3,2.60394990375898,3.7533126745369,8.56895549338081,4.57836118967489e-10,8.21850000421193e-08,12.5699453834738,PI3
PSMD2,0.529390425750188,9.48771136776204,8.56108608202547,4.6794719603686e-10,8.27647195108135e-08,12.3775454332889,PSMD2
PSAT1,0.777194957406732,7.33654266255616,8.54298989007715,4.92067879989285e-10,8.52948845880112e-08,12.6448429430201,PSAT1
SLC40A1,-0.488948212674696,9.74716170075993,-8.53980901172109,4.96436511279686e-10,8.52948845880112e-08,12.2318460278245,SLC40A1
MYO1A,-0.92503065469363,6.76891983459265,-8.52503821760807,5.17245027470224e-10,8.76183935969631e-08,12.62370890847,MYO1A
HELLS,1.38436021358716,5.91624046825569,8.51387388102751,5.33559308035403e-10,8.91266360797472e-08,12.8020762776848,HELLS
MRAP2,-1.35994493661992,4.32915903496954,-8.4362520918157,6.62420729156289e-10,1.0913608369264e-07,12.6373186606716,MRAP2
KLHL5,2.16453356652602,4.09414662066265,8.42322387082325,6.86964847425635e-10,1.11650354324164e-07,12.5031986537092,KLHL5
PSMD1,0.594110109935089,8.57644532633979,8.4118245737068,7.0919715737303e-10,1.12224923461954e-07,12.0772300954537,PSMD1
PSMD11,0.638955681495347,7.53782073580033,8.4094262342157,7.13966988596873e-10,1.12224923461954e-07,12.2148728798221,PSMD11
MARS1,0.598566603514373,8.13331044149404,8.4071653340137,7.18493315587465e-10,1.12224923461954e-07,12.1209911741197,MARS1
RCN1,0.576508690158901,8.49560548524501,8.39969539080908,7.33656449594961e-10,1.13124181016392e-07,12.0650016139445,RCN1
FAM8A1,1.08545538339562,6.43096997759322,8.36101435213889,8.17535673397987e-10,1.24462044860223e-07,12.2944190854979,FAM8A1
DTL,0.849143368323544,6.3901799308861,8.35215453139208,8.38081680185956e-10,1.25995104594956e-07,12.260115160474,DTL
CXCL16,0.574093921453687,7.68095012267172,8.21643536198006,1.22724413062981e-09,1.8005365091465e-07,11.6310791297295,CXCL16
ZDHHC7,-0.689900126472115,7.3057853987052,-8.21633119187351,1.22760450444844e-09,1.8005365091465e-07,11.7589385025714,ZDHHC7
CHP2,-1.65899098188558,3.6408528199909,-8.18149297497602,1.35435928833754e-09,1.9400467818306e-07,11.9385894692902,CHP2
MCM4,0.622454261028888,7.94825937222984,8.18132959111081,1.35498403320671e-09,1.9400467818306e-07,11.5016202990797,MCM4
MT1F,-0.764980495628827,7.34049643264989,-8.1549069844313,1.45996684796711e-09,2.06576720947064e-07,11.4045220461989,MT1F
TESC,1.35229794790344,4.69923244547763,8.14128905179294,1.51726081883405e-09,2.12187161257176e-07,11.811909391481,TESC
IFI27,0.568755794160548,9.67651176423203,8.05803883833544,1.92072222836471e-09,2.65523290121176e-07,10.9288843913179,IFI27
CDH17,-0.365795008251775,11.4046812834125,-8.04934696101617,1.96868701040038e-09,2.69061348569152e-07,10.755519948806,CDH17
CKAP4,0.693402488536788,7.61828516380931,8.0385017167896,2.03024310791745e-09,2.7435656021262e-07,11.16388874419,CKAP4
HMGCS2,-0.44484687474888,10.0777806124464,-8.00492877383648,2.2334629684364e-09,2.93636751114079e-07,10.7021948781383,HMGCS2
IL17RB,0.931571700102687,6.4876862573661,8.00306941584433,2.24530303791071e-09,2.93636751114079e-07,11.230848164225,IL17RB
ETV7,1.3668674767344,4.3560786418702,8.00293503277925,2.24616122910911e-09,2.93636751114079e-07,11.4507721986274,ETV7
CLMN,-0.728102508630691,7.31813465726027,-7.9702808387168,2.46487969959138e-09,3.18764603731028e-07,11.0668657217023,CLMN
LCN2,2.00352108048942,6.3787996615402,7.96072280289341,2.53289920678223e-09,3.24076369786914e-07,11.3319568222263,LCN2
SMAGP,-0.700169194527435,6.88530234475797,-7.92280839518421,2.82201071719794e-09,3.57266556797259e-07,10.9397441636175,SMAGP
LGALS3,-0.46977284359553,11.3493972670305,-7.71126843977253,5.17320988294296e-09,6.48106200647447e-07,9.75987811727836,LGALS3
TMEM97,0.584179818449975,7.63739698277959,7.64802842555105,6.20674222957066e-09,7.69572049433467e-07,10.0638775795323,TMEM97
FLOT1,-0.686533280970163,7.2591530495243,-7.62239517274896,6.68314383986377e-09,8.20185417980017e-07,10.0117128175579,FLOT1
SCNN1A,-0.667718001769034,8.34542014914576,-7.60966579474774,6.93332383679291e-09,8.42293795809176e-07,9.78099873709443,SCNN1A
SMIM24,-1.05690237797032,5.69578317904638,-7.58093065595728,7.53353298879195e-09,9.06058012562008e-07,10.239525858836,SMIM24
OAS3,1.27819676422319,8.04223464353011,8.33522823384254,9.0103733980663e-09,1.07294812731231e-06,9.87073302267694,OAS3
TMC4,-0.557492805566252,7.717756631186,-7.51409143913565,9.14148981598663e-09,1.07788919624383e-06,9.60262779199415,TMC4
DGAT2,0.729735172407887,6.79770012590659,7.49654151972256,9.61859167159158e-09,1.12313400033235e-06,9.73829030585148,DGAT2
E2F1,0.963731255346309,6.47051824017066,7.47406002854318,1.02667979443163e-08,1.18729595073358e-06,9.74964940760442,E2F1
